Name,Brand,Price,Specifications,Description,URL,Images,ScrapedAt
Godox MoveLink II M2 Compact 2-Person Wireless Microphone System,N/A,"Rp2,556,000","{""Key Features"":""For Vlogging, YouTube, and Journalism | For 2-Person Shoots with Camera or Phone | 2 x Miniature Clip-On Transmitter/Mics | Miniature 2-Channel Clip-On Receiver | 2 x Lav Mics for Low-Profile Appearance | Built-In Rechargeable Batteries | 3.5mm Audio Out + 3.5mm Headphone Jack | 3.5mm TRRS and 3.5mm TRS Cables Included | Includes Furry Wind Caps & Charging Case | 328' Wireless Range"",""What’s In The Box"":""Godox MoveLink II Dual-Channel Wireless Receiver (2.4 GHz, Black) | 2 x Godox MoveLink II Clip-On Wireless Microphone Transmitter (2.4 GHz, Black) | 2 x Omnidirectional Lavalier Microphone | 3.5mm TRS to TRRS Cable | 3.5mm TRS to TRS Cable | 2 x Fuzzy Windscreen | 3 x Magnetic Plate | 3 x USB-C Cable | Charging Case | Wrist Strap""}","The black MoveLink II M2 from Godox provides an easy-to-use and cost-effective entry into the world of hands-free wireless audio for a wide variety of content creators, including YouTube and TikTok personalities, vloggers, mobile journalists, and more.",https://shop.anekafoto.com/home/3927-godox-movelink-ii-m2-compact-2-person-wireless-microphone-system.html,,2026-04-12T15:20:39.194Z
Canon EOS 5DSR DSLR Camera Body Only,N/A,"Rp50,350,000","{""Key Features"":""50.6MP Full-Frame CMOS Sensor | Dual DIGIC 6 Image Processors | Low-Pass Filter Effect Cancellation | 3.2\"" 1.04m-Dot ClearView II LCD Monitor | Full HD 1080p Video Recording at 30 fps | 61-Point High Density Reticular AF | ISO 100-6400; 5 fps Continuous Shooting | 150,000-Pixel RGB+IR Metering Sensor | User-Selectable Shutter Release Time Lag | Anti-Flicker Compensation"",""What’s In The Box"":""Canon EOS 5DS R DSLR Camera (Body Only) | LP-E6N Lithium-Ion Battery Pack (7.2V, 1865mAh) | LC-E6 Charger for LP-E6 Battery Pack | IFC-150U II USB 3.0 Interface Cable for EOS 7D Mark II DSLR | Eyecup Eg | RF-3 Body Cap for Canon EOS Cameras | Wide Strap EW-EOS5DSR | Cable Protector | EOS DIGITAL Solution Disk""}","Providing the full resolving power of its new sensor, the EOS 5DS R DSLR Camera from Canon is a variant of the 5DS with the sensor's low-pass filter rendered neutral. By cancelling the effect of the filter, the 50.6MP sensor is enabled to deliver an even higher resolution with more intricate details.",https://shop.anekafoto.com/home/4163-canon-eos-5ds-r-dslr-camera-body-only.html,,2026-04-12T15:20:46.936Z
Sony FE 100mm f/2.8 STF GM OSS,N/A,"Rp22,299,000","{""Key Features:"":""E-Mount Lens/Full-Frame Format | Aperture Range: f/2.8 to 20 | T5.6 to 22 | Apodization Element for Smooth Bokeh | One Aspherical Element & One ED Element | Nano AR Coating | Direct Drive Super Sonic Wave AF Motor | Optical SteadyShot Image Stabilization | Physical Aperture Ring; De-Click Switch | Macro Switching Ring; Focus Hold Button | Eleven-Blade Circular Diaphragm"",""What’s In the Box?"":""Sony FE 100mm f/2.8 STF GM OSS Lens | Sony ALC-F72S 72mm Front Lens Cap | Sony ALC-R1EM Rear Lens Cap | Sony ALC-SH147 Lens Hood | Lens Case | Limited 1-Year Manufacturer Warranty""}","Delivering both smooth bokeh and fine sharpness, the FE 100mm f/2.8 STF GM OSS from Sony is a short-telephoto prime featuring a unique and sophisticated optical design.",https://shop.anekafoto.com/home/3462-sony-fe-100mm-f28-stf-gm-oss-lens.html,,2026-04-12T15:20:51.679Z
Fujifilm XC 15-45mm f/3.5-5.6 OIS PZ,N/A,"Rp4,799,000",{},"Sporting a sleek profile and a versatile focal length range, the black XC 15-45mm f/3.5-5.6 OIS PZ from FUJIFILM is a 23-69mm-equivalent zoom characterized by its compact, retractable design.",https://shop.anekafoto.com/home/3529-fujifilm-xc-15-45mm-f35-56-ois-pz.html,,2026-04-12T15:20:53.287Z
DJI Avata 360,N/A,"Rp10,799,000","{""General Features"":""360° 8K60 HDR & Single 4K60 Cameras | Seamlessly Switch Between Camera Modes | ActiveTrack 360 & Spotlight Tracking | Fly More Combo & RC 2 Remote | Omnidirectional Obstacle Sensing | Vision Assist in Full-Color 1080p | RockSteady & HorizonSteady Stabilization | O4+ Video Transmission up to 12.4 Miles | Up to 23 Minutes of Flight Time | 42GB of Integrated Storage""}",N/A,https://shop.anekafoto.com/home/4357-1935-dji-avata-360.html#/531-variant-rc_2,,2026-04-12T15:20:56.782Z
Godox Virso M2 2.4GHz Wireless Microphone Dual Transmitter Mic Resmi,N/A,"Rp3,000,000","{""Key Features"":""For Vlogging, YouTube, and Journalism | For Shoots with Sony Camera or Phone | 2 x Transmitters with Built-In Mics | Dual-Channel Receiver with MI Shoe | Omnidirectional Lavalier Microphones | microSD Card Slots, Backup Recording | Built-In Rechargeable Batteries | 3.5mm TRS Outputs, USB-C Ports | 656' Transmission Distance"",""What’s In The Box"":""2x Transmitter (Virso TX) | 1x Receiver (Virso RX) | 1x Charging Case (ML-C4) | 1x USB to Type-C Data CAble | 2x Furry Windscreen | 1x 3.5mm TRS-TRRS Audio Connect Cable | 1x 3.5mm TRS-TRS Audio Connect Cable | 2x Omnidirectional Lavalier Microphone (LMS-12B AX) | 1x Portable Rope""}","Capture audio from Sony cameras, smartphones, or other recording devices all day using the Virso S M2 2-Person Wireless Microphone System from Godox. The system includes two clip-on transmitters with built-in omnidirectional microphones and a dual-channel receiver with a Multi Interface shoe and its own built-in microphone",https://shop.anekafoto.com/home/4178-godox-virso-m2-24ghz-wireless-microphone-dual-transmitter-mic-resmi.html,,2026-04-12T15:20:57.399Z
Dji RS 5 Gimbal Stabilizer Basic Combo,N/A,"Rp9,689,000","{""General Features"":""Lightweight 3.2 lb Body, 6.6 lb Payload | Z-Axis Indicator | One-Hour Full Charge with 65W PD Charger | 2nd Gen Automated Axis Locks | Separate AI Tracking and Framing Module | Separate Electronic Control Handle | OLED Touchscreen with Auto-Lock | 3rd Gen Native Vertical Shooting | Joystick or Bluetooth Mode Switching | Teflon-Coated Axes, Enhanced Balancing""}","Get even smoother video footage, complete with a Z-axis (vertical) indicator, using the RS 5 Gimbal Stabilizer from DJI.",https://shop.anekafoto.com/home/4356-dji-rs-5-gimbal-stabilizer-basic-combo.html,,2026-04-12T15:20:58.584Z
Sony FE 100-400mm f/4.5-5.6 GM OSS,N/A,"Rp38,399,000","{""Key Features"":""E-Mount Lens/Full-Frame Format | Aperture Range: f/4.5 to f/40 | One Super ED Element and Two ED Elements | Nano AR Coating and Fluorine Coating | Direct Drive Super Sonic Wave AF Motor | Optical SteadyShot Image Stabilization | Zoom Torque Adjustment Ring | Internal Focus, Focus Range Limiter | Dust and Moisture-Resistant Construction | Rounded 9-Blade Diaphragm"",""What’s In the Box?"":""Sony FE 100-400mm f/4.5-5.6 GM OSS Lens | Sony ALC-F77S 77mm Front Lens Cap | Sony ALC-R1EM Rear Lens Cap | Sony ALC-SH151 Lens Hood | Tripod Mount | Lens Case | Limited 1-Year Manufacturer Warranty""}","Targeting sports, wildlife, and action shooters, this FE 100-400mm f/4.5-5.6 GM OSS Lens from Sony will satisfy many photographers and videographers who are looking for a bit of extra reach with their full-frame E-mount camera.",https://shop.anekafoto.com/home/3464-sony-fe-100-400mm-f45-56-gm-oss-lens.html,,2026-04-12T15:21:00.203Z
DJI RS 5 Gimbal Stabilizer,N/A,"Rp7,697,000",{},"Get even smoother video footage, complete with a Z-axis (vertical) indicator, using the RS 5 Gimbal Stabilizer from DJI.",https://shop.anekafoto.com/home/4354-dji-rs-5-gimbal-stabilizer.html,,2026-04-12T15:21:01.095Z
Colbor AirMaxx A1 Mini Jet Fan,N/A,"Rp1,000,000","{""Key Features:"":""Aliran udara kuat hingga 30m/s | Konstruksi ringan dari aluminium aerospace-grade, berat 310g | Universal dalam penggunaan dengan lubang sekrup 1/4” | Desain Ergonomis | Cahaya LED Multifungsi"",""What's in the box?"":""1x AirMaxx Jet Fan | 1x Type-C Charging Cable | 1x Carrying Bag | 1x Nozzle | 1x User Manual""}","Kipas mini jet COLBOR AirMaxx A1 sangat cocok untuk berbagai aktivitas, mulai dari membersihkan debu hingga mendinginkan tubuh, berkemah hingga mengabadikan fotografi yang menakjubkan.",https://shop.anekafoto.com/home/2347-colbor-airmaxx-a1-jet-fan.html,,2026-04-12T15:21:01.760Z
